make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_encoded,model_encoded,manufactured_encoded,reg_date_encoded,type_of_vehicle_encoded,category_encoded
porsche,cayenne,2008.0,2009,suv,coe car,0,2245.0,298.0,4806.0,6.0,20120.0,31335,7815.0,14311.0,16021.0,110197.0,110197.0,91888.0,25,67,3,6,0,9
mazda,3,2017.0,2017,mid-sized sedan,parf car,0,1310.0,88.0,1496.0,2.0,11990.0,44002,682.0,19033.0,121235.0,14761.0,9761.0,40800.0,10,15,1,1,3,0
nissan,kicks,2020.0,2020,suv,"parf car, hybrid cars",0,1330.0,95.0,1198.0,2.0,14770.0,32699,772.0,32387.0,68000.0,24846.0,16785.0,97800.0,17,253,9,9,0,20
mazda,2,2021.0,2022,suv,"parf car, premium ad car, low mileage car",0,1794.0,143.0,2488.0,1.0,21040.0,95889,1786.0,101216.0,21900.0,30828.0,35160.0,181800.0,10,18,14,5,0,6
audi,a1,2019.0,2020,hatchback,"parf car, premium ad car",0,1200.0,85.0,999.0,1.0,14810.0,32699,392.0,38062.0,65988.0,24106.0,25749.0,97800.0,9,60,7,9,6,1
mazda,2,2016.0,2016,luxury sedan,"parf car, low mileage car",0,1454.0,121.0,1998.0,2.0,16340.0,58201,1210.0,25875.0,68300.0,21318.0,21846.0,47000.0,10,18,8,12,1,19
mercedes-benz,Other,2011.0,2012,sports car,"coe car, premium ad car",0,1500.0,150.0,1796.0,5.0,17060.0,49716,1266.0,34611.0,133888.0,60187.0,60187.0,118800.0,1,17,11,13,4,3
toyota,corolla,2015.0,2016,stationwagon,"parf car, direct owner sale",0,1140.0,80.0,1496.0,3.0,18530.0,45000,682.0,10674.0,98589.0,15756.0,5756.0,33800.0,3,99,10,12,7,21
honda,e,2015.0,2015,mpv,parf car,0,1855.0,129.0,2356.0,2.0,16160.0,57501,1630.0,24804.0,176238.0,28188.0,31464.0,36800.0,2,22,10,10,2,0
toyota,dyna,2022.0,2022,truck,premium ad car,1,1800.0,19.0,2755.0,2.0,12690.0,37751,2658.5219655257542,29094.0,30190.0,31609.0,1581.0,97800.0,3,135,5,5,5,15
porsche,911,2023.0,2023,sports car,"parf car, rare & exotic, low mileage car",0,1510.0,375.0,3996.0,1.0,95890.0,105501,3944.0,344020.0,880.0,178241.0,332131.0,1028800.0,25,181,17,11,4,57
toyota,dyna,2013.0,2013,truck,coe car,1,1780.0,19.0,2982.0,1.0,12970.0,41318,3003.21150962459,36201.0,154507.0,24970.0,1249.0,56800.0,3,135,18,17,5,9
porsche,cayman,2015.0,2016,sports car,"parf car, rare & exotic, low mileage car",1,1415.0,283.0,3800.0,5.0,207620.0,54920,3638.0,98664.0,35000.0,106173.0,163112.0,420000.0,25,162,10,12,4,57
bmw,420i,2017.0,2017,luxury sedan,"parf car, direct owner sale",0,1540.0,135.0,1998.0,2.0,18770.0,57414,1210.0,48983.0,80500.0,42318.0,46246.0,85000.0,8,57,1,1,1,21
isuzu,Other,2016.0,2016,truck,premium ad car,1,2380.0,19.0,2999.0,2.0,15460.0,44002,2384.0,9620.0,189305.0,27037.0,1352.0,33800.0,15,17,8,12,5,15
alpine,Other,2020.0,2020,sports car,"parf car, premium ad car, low mileage car",0,1086.0,185.0,1798.0,2.0,26960.0,38110,976.0,75142.0,17388.0,54000.0,69200.0,199000.0,56,17,9,9,4,6
nissan,nv200,2023.0,2024,van,"almost new car, premium ad car",0,1220.0,12.0,1597.0,1.0,8790.0,48916,1039.0,39133.0,8.0,15047.0,753.0,87800.0,17,108,17,18,9,51
honda,vezel,2016.0,2018,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,1.0,15730.0,36890,682.0,21276.0,91660.0,21432.0,12005.0,63500.0,2,55,8,0,0,1
audi,a5,2010.0,2010,luxury sedan,"coe car, premium ad car",0,1615.0,155.0,1984.0,4.0,16380.0,37502,1672.0,19871.0,70558.0,46915.0,46915.0,86800.0,9,128,6,19,1,3
kia,stonic,2019.0,2019,suv,"parf car, premium ad car",0,1185.0,88.0,998.0,2.0,13810.0,25920,392.0,18877.0,24329.0,17672.0,7672.0,73777.0,18,45,7,8,0,1
mercedes-benz,e250,2015.0,2016,luxury sedan,"parf car, sgcarmart warranty cars",0,1680.0,155.0,1991.0,5.0,23050.0,60001,1202.0,43207.0,135000.0,49637.0,61492.0,66800.0,1,107,10,12,1,14
honda,hr-v,2016.0,2016,suv,parf car,0,1190.0,96.0,1496.0,1.0,14050.0,50000,682.0,22682.0,117288.0,23650.0,20110.0,39888.0,2,117,8,12,0,0
bmw,m4,2014.0,2015,sports car,"parf car, premium ad car, low mileage car",0,1537.0,317.0,2979.0,5.0,116150.0,77600,2362.0,57739.0,66588.0,71583.0,100850.0,159888.0,8,203,13,10,4,6
byd,t3,2022.0,2023,van,"premium ad car, electric cars",0,1620.0,12.0,1840.0,2.0,12170.0,46360,1026.0,40657.0,196127.0,23078.0,1154.0,106800.0,38,152,5,11,9,50
honda,jazz,2007.0,2008,hatchback,coe car,0,1040.0,60.0,1339.0,5.0,12070.0,42698,885.0,14786.0,42275.0,13995.0,12447.0,41800.0,2,82,2,3,6,9
toyota,rush,2007.0,2007,suv,"coe car, premium ad car",0,1150.0,80.0,1495.0,2.0,12700.0,41994,1023.0,14485.0,29535.0,15336.0,16870.0,43800.0,3,51,2,2,0,3
mercedes-benz,amg,2020.0,2020,sports car,Other,0,1575.0,430.0,3982.0,2.0,70870.0,35889,3922.0,321189.0,14000.0,237100.0,398780.0,635888.0,1,29,9,9,4,23
mercedes-benz,amg,2022.0,2022,suv,"parf car, consignment car",0,1550.0,96.0,1332.0,1.0,22770.0,57599,586.0,82829.0,26730.0,40669.0,48937.0,206800.0,1,29,5,5,0,41
honda,vezel,2015.0,2016,suv,parf car,0,1190.0,96.0,1496.0,3.0,15110.0,46009,682.0,14671.0,95100.0,20124.0,10174.0,34888.0,2,55,10,12,0,0
toyota,vios,2018.0,2018,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1100.0,79.0,1496.0,1.0,14160.0,38700,682.0,26269.0,112000.0,15201.0,15201.0,64800.0,3,172,0,0,3,8
toyota,noah,2018.0,2018,mpv,"parf car, hybrid cars",0,1610.0,100.0,1797.0,1.0,24610.0,31000,974.0,30726.0,162888.0,31383.0,25937.0,112777.0,3,19,0,0,2,20
audi,a4,2018.0,2018,luxury sedan,parf car,0,1480.0,140.0,1984.0,3.0,17160.0,32552,1194.0,40898.0,106000.0,33432.0,38805.0,91800.0,9,133,0,0,1,0
volkswagen,golf,2008.0,2008,sports car,"coe car, premium ad car",0,1617.0,184.0,3189.0,6.0,15410.0,32279,4023.0,13991.0,165533.0,32266.0,32266.0,66800.0,11,20,3,3,4,3
honda,fit,2019.0,2019,hatchback,"parf car, premium ad car",0,1030.0,73.0,1317.0,1.0,13340.0,30009,578.0,18613.0,130824.0,15636.0,5636.0,68000.0,2,56,7,8,6,1
volkswagen,golf,2011.0,2011,hatchback,"coe car, premium ad car",0,1241.0,90.0,1390.0,5.0,13620.0,23241,806.0,11054.0,146000.0,22244.0,22244.0,32388.0,11,20,11,7,6,3
porsche,macan,2017.0,2017,suv,"parf car, premium ad car",0,1845.0,185.0,1984.0,3.0,31750.0,57390,1194.0,75586.0,160000.0,63495.0,86291.0,151000.0,25,64,1,1,0,1
fiat,doblo,2015.0,2016,van,premium ad car,0,1500.0,12.0,1598.0,2.0,8750.0,33023,1113.0,4831.0,81565.0,19236.0,962.0,12800.0,33,130,10,12,9,15
honda,vezel,2019.0,2022,suv,"parf car, sgcarmart warranty cars",0,1190.0,96.0,1496.0,1.0,13870.0,52709,682.0,47246.0,28000.0,23466.0,9853.0,109800.0,2,55,7,5,0,14
volkswagen,polo,2018.0,2019,hatchback,parf car,0,1190.0,85.0,999.0,3.0,13910.0,26659,392.0,27933.0,89150.0,21793.0,22511.0,74800.0,11,265,0,8,6,0
honda,e,2015.0,2015,mpv,"parf car, premium ad car, sgcarmart warranty cars",0,1855.0,129.0,2356.0,3.0,20320.0,58109,1630.0,23909.0,163000.0,28184.0,31458.0,38888.0,2,22,10,10,2,8
mercedes-benz,Other,2021.0,2021,luxury sedan,"parf car, rare & exotic, hybrid cars",0,1940.0,286.0,2999.0,2.0,44360.0,56032,2384.0,166776.0,45000.0,110017.0,170031.0,395800.0,1,17,14,16,1,93
nissan,nv200,2020.0,2020,van,-,0,1220.0,12.0,1597.0,2.0,10060.0,19892,1039.0,12224.0,112461.0,21006.0,1051.0,61800.0,17,108,9,9,9,7
isuzu,nhr85a,2015.0,2016,truck,premium ad car,0,1780.0,0.0,2999.0,1.0,13710.0,4885,2384.0,812.0,69208.0,26867.0,1344.0,22800.0,15,183,10,12,5,15
citroen,c4,2015.0,2015,suv,"parf car, premium ad car",0,975.0,60.0,1199.0,5.0,13770.0,55889,508.0,8553.0,137000.0,17360.0,5000.0,16800.0,24,86,10,10,0,1
hyundai,avante,2009.0,2009,mid-sized sedan,"coe car, premium ad car, low mileage car",1,1264.0,89.0,1591.0,3.0,9990.0,25525,1107.0,12238.0,148500.0,9664.0,426.0,47888.0,12,40,15,6,3,2
toyota,sienta,2019.0,2020,mpv,"parf car, low mileage car, hybrid cars",0,1380.0,73.0,1496.0,1.0,15150.0,30010,682.0,30071.0,42000.0,25248.0,17348.0,94800.0,3,132,7,9,2,31
honda,city,2016.0,2016,mid-sized sedan,"parf car, direct owner sale",0,1096.0,88.0,1497.0,1.0,15660.0,47020,684.0,17588.0,85500.0,17502.0,12502.0,39888.0,2,31,8,12,3,21
mercedes-benz,amg,2019.0,2020,luxury sedan,"parf car, premium ad car",0,1410.0,100.0,1332.0,1.0,21440.0,35001,586.0,52377.0,197430.0,35514.0,41720.0,150000.0,1,29,7,9,1,1
mitsubishi,outlander,2016.0,2016,suv,parf car,0,1530.0,123.0,2360.0,2.0,15020.0,55501,1636.0,28379.0,115000.0,24148.0,25808.0,47800.0,6,14,8,12,0,0
mitsubishi,canter,2014.0,2014,truck,coe car,1,2500.0,19.0,2998.0,2.0,10550.0,35560,2384.0,34975.0,105620.0,29863.0,1494.0,51880.0,6,10,13,14,5,9
mercedes-benz,amg,2017.0,2017,luxury sedan,"parf car, low mileage car",0,1690.0,270.0,2996.0,2.0,28140.0,48209,2382.0,78663.0,61000.0,76688.0,110039.0,128800.0,1,29,1,1,1,19
bmw,420i,2019.0,2019,luxury sedan,"parf car, premium ad car",0,1540.0,135.0,1998.0,1.0,21830.0,38602,1210.0,59390.0,76210.0,43149.0,52409.0,139800.0,8,57,7,8,1,1
mercedes-benz,c180,2011.0,2011,luxury sedan,"coe car, direct owner sale, low mileage car",0,1500.0,115.0,1597.0,3.0,10920.0,42283,1039.0,28081.0,72551.0,30295.0,30295.0,72500.0,1,8,11,7,1,27
ford,focus,2017.0,2018,stationwagon,"parf car, premium ad car",0,1345.0,92.0,999.0,2.0,12970.0,38000,392.0,27075.0,93000.0,19535.0,19535.0,58888.0,44,288,1,0,7,1
volkswagen,golf,2018.0,2019,hatchback,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1270.0,92.0,1395.0,3.0,13820.0,26170,624.0,25835.0,46000.0,19904.0,19904.0,72800.0,11,20,0,8,6,30
nissan,qashqai,2010.0,2010,suv,coe car,0,1360.0,102.0,1997.0,2.0,10500.0,38216,1694.0,24385.0,140000.0,23654.0,23654.0,66988.0,17,41,6,19,0,9
toyota,alphard,2019.0,2021,mpv,"parf car, premium ad car, hybrid cars",0,2170.0,145.0,2493.0,2.0,25840.0,46002,1792.0,76222.0,50000.0,48875.0,60425.0,203800.0,3,62,7,16,2,11
kia,cerato,2011.0,2011,sports car,coe car,1,1232.0,91.0,1591.0,4.0,12460.0,18238,959.0,5326.0,139897.0,11955.0,11955.0,18200.0,18,37,11,7,4,9
hyundai,avante,2022.0,2022,mid-sized sedan,"parf car, premium ad car",0,1280.0,90.0,1598.0,2.0,15420.0,70901,742.0,58684.0,43000.0,19608.0,5000.0,122000.0,12,40,5,5,3,1
mitsubishi,outlander,2018.0,2018,suv,"parf car, premium ad car",0,1480.0,110.0,1998.0,1.0,17150.0,37989,1210.0,29554.0,83000.0,19709.0,19709.0,80988.0,6,14,0,0,0,1
mercedes-benz,glc200,2018.0,2018,suv,"parf car, low mileage car",0,1705.0,135.0,1991.0,2.0,24430.0,42322,1202.0,50124.0,60500.0,42511.0,51516.0,121800.0,1,53,0,0,0,19
polestar,2,2022.0,2022,luxury sedan,Other,0,2069.0,170.0,2000.0,1.0,21480.0,107800,1912.0,89775.0,14000.0,41223.0,4713.0,175800.0,50,18,5,5,1,23
audi,a3,2018.0,2019,luxury sedan,"parf car, premium ad car, low mileage car",0,1280.0,85.0,999.0,2.0,14600.0,26170,392.0,27946.0,46688.0,22100.0,22940.0,77800.0,9,80,0,8,1,6
isuzu,Other,2019.0,2021,truck,premium ad car,1,6620.0,0.0,5193.0,1.0,19540.0,34851,6360.51803827008,23154.0,53756.0,68658.0,3433.0,129800.0,15,17,7,16,5,15
volkswagen,jetta,2011.0,2011,mid-sized sedan,"coe car, premium ad car",0,1417.0,118.0,1390.0,5.0,13070.0,42283,806.0,28729.0,152725.0,24357.0,24357.0,88800.0,11,173,11,7,3,3
honda,n-van,2022.0,2022,van,direct owner sale,0,920.0,12.0,658.0,2.0,9130.0,39296,326.0,32718.0,30000.0,16844.0,843.0,76000.0,2,74,5,5,9,59
toyota,noah,2019.0,2019,mpv,"parf car, hybrid cars",0,1610.0,100.0,1797.0,1.0,21860.0,36001,974.0,42102.0,100770.0,35031.0,31044.0,129800.0,3,19,7,8,2,20
bmw,318i,2021.0,2021,luxury sedan,parf car,0,1490.0,115.0,1998.0,1.0,18720.0,70002,1210.0,88892.0,40000.0,41714.0,50400.0,161800.0,8,12,14,16,1,0
mercedes-benz,amg,2022.0,2022,luxury sedan,"parf car, premium ad car, hybrid cars",0,1675.0,165.0,1496.0,1.0,21090.0,99999,682.0,124627.0,59000.0,48503.0,59905.0,198000.0,1,29,5,5,1,11
mazda,3,2014.0,2015,mid-sized sedan,"parf car, premium ad car",0,1339.0,88.0,1496.0,2.0,15820.0,57199,682.0,7746.0,108000.0,17499.0,7499.0,14800.0,10,15,13,10,3,1
toyota,altis,2010.0,2010,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1195.0,90.0,1598.0,2.0,10930.0,33140,1039.0,20865.0,120050.0,16446.0,16446.0,68800.0,3,3,6,19,3,2
toyota,corolla,2021.0,2021,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1315.0,96.0,1598.0,1.0,14840.0,47821,742.0,47535.0,33000.0,19481.0,19481.0,111888.0,3,99,14,16,3,8
hyundai,avante,2019.0,2019,mid-sized sedan,parf car,0,1345.0,93.0,1591.0,1.0,14780.0,31759,738.0,27543.0,74000.0,14843.0,14843.0,83800.0,12,40,7,8,3,0
mitsubishi,canter,2018.0,2019,truck,direct owner sale,0,2500.0,19.0,2998.0,2.0,13160.0,10473,2384.0,4760.0,76402.0,35146.0,1758.0,59800.0,6,10,0,8,5,59
peugeot,5008,2017.0,2018,suv,"parf car, premium ad car",0,1270.0,96.0,1199.0,1.0,13750.0,36890,508.0,31987.0,120000.0,26304.0,28826.0,63800.0,23,95,1,0,0,1
suzuki,spacia,2023.0,2023,van,"almost new car, premium ad car",0,840.0,12.0,658.0,1.0,8280.0,68181,326.0,62558.0,67608.0,15313.0,766.0,75999.0,27,73,17,11,9,51
nissan,Other,2010.0,2011,suv,"coe car, low mileage car",0,1210.0,86.0,1598.0,3.0,11910.0,39844,1039.0,26734.0,120349.0,21588.0,21588.0,79900.0,17,17,6,7,0,12
subaru,impreza,2017.0,2017,mid-sized sedan,"parf car, premium ad car",0,1449.0,84.0,1600.0,1.0,13090.0,48401,744.0,21382.0,93000.0,13646.0,13646.0,42500.0,7,9,1,1,3,1
mercedes-benz,e200,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1605.0,135.0,1991.0,3.0,23070.0,53711,1202.0,60005.0,105682.0,52579.0,66643.0,105000.0,1,11,1,1,1,1
honda,e,2015.0,2016,mpv,"parf car, premium ad car",0,1769.0,129.0,2356.0,2.0,17420.0,61103,1630.0,25014.0,18026.0,25481.0,27674.0,41800.0,2,22,10,12,2,1
honda,stream,2008.0,2009,mpv,"coe car, premium ad car",0,1350.0,103.0,1799.0,5.0,11450.0,31335,1467.0,14174.0,21458.0,20687.0,20687.0,51800.0,2,23,3,6,2,3
toyota,wish,2017.0,2017,mpv,"parf car, premium ad car",0,1360.0,105.0,1798.0,1.0,16680.0,50621,976.0,25883.0,85000.0,19955.0,19955.0,55800.0,3,87,1,1,2,1
bmw,216d,2016.0,2016,hatchback,parf car,0,1395.0,85.0,1496.0,2.0,17090.0,53694,1082.0,22943.0,74875.0,27158.0,20022.0,44800.0,8,116,8,12,6,0
nissan,qashqai,2015.0,2015,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,3.0,13590.0,56209,508.0,14861.0,141608.0,18413.0,13413.0,24800.0,17,41,10,10,0,1
bmw,mild,2022.0,2022,suv,"parf car, hybrid cars",0,1800.0,137.0,1998.0,1.0,24800.0,92090,1210.0,116765.0,52000.0,47380.0,58332.0,225800.0,8,274,5,5,0,20
honda,vezel,2018.0,2018,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,14880.0,28457,682.0,28437.0,76104.0,22416.0,23383.0,74800.0,2,55,0,0,0,1
honda,odyssey,2006.0,2006,mpv,"coe car, premium ad car, low mileage car",0,1640.0,147.0,2354.0,4.0,18160.0,54463,2442.0,11922.0,122000.0,30960.0,34056.0,39800.0,2,2,4,4,2,2
toyota,camry,2020.0,2021,luxury sedan,"parf car, hybrid cars",0,1595.0,160.0,2487.0,2.0,19560.0,46002,1784.0,49669.0,54000.0,34336.0,25071.0,143800.0,3,121,9,16,1,20
toyota,hiace,2020.0,2020,van,premium ad car,0,1800.0,0.0,2754.0,2.0,13720.0,30334,3000.0,19788.0,105000.0,36269.0,1814.0,89500.0,3,43,9,9,9,15
volkswagen,caddy,2019.0,2020,van,Other,0,1560.0,92.0,1968.0,1.0,11850.0,33089,1463.496982240363,20950.0,25000.0,29097.0,1455.0,75000.0,11,267,7,9,9,23
bmw,530i,2017.0,2017,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1540.0,185.0,1998.0,3.0,25380.0,49000,1210.0,61958.0,197158.0,54822.0,70680.0,118300.0,8,141,1,1,1,8
nissan,cabstar,2017.0,2017,truck,direct owner sale,1,1800.0,19.0,2953.0,2.0,8810.0,51890,3495.0,16790.0,89279.0,27176.0,1359.0,28500.0,17,35,1,1,5,59
lexus,rx,2017.0,2017,suv,"parf car, premium ad car",0,1890.0,175.0,1998.0,3.0,24580.0,48005,1210.0,56287.0,133888.0,50208.0,62375.0,111800.0,4,44,1,1,0,1
nissan,x-trail,2017.0,2018,suv,parf car,0,1626.0,106.0,1997.0,1.0,18450.0,44000,1210.0,34051.0,96000.0,24640.0,26496.0,83800.0,17,188,1,0,0,0
volkswagen,passat,2015.0,2016,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1480.0,132.0,1798.0,1.0,15340.0,55501,976.0,29697.0,75000.0,29813.0,28739.0,48800.0,11,58,10,12,1,30
mercedes-benz,amg,2020.0,2020,suv,"parf car, premium ad car",0,1555.0,120.0,1332.0,2.0,25570.0,39500,586.0,55111.0,80000.0,34430.0,40202.0,183800.0,1,29,9,9,0,1
honda,civic,2007.0,2007,mid-sized sedan,"coe car, premium ad car",0,1312.0,114.0,1998.0,5.0,14320.0,50168,1815.0,16741.0,167000.0,21660.0,23826.0,47800.0,2,16,2,2,3,3
opel,zafira,2018.0,2019,mpv,parf car,0,1538.0,103.0,1364.0,1.0,13830.0,31809,606.0,32976.0,98000.0,24870.0,26818.0,76800.0,30,319,0,8,2,0
toyota,sienta,2018.0,2018,mpv,parf car,0,1350.0,79.0,1496.0,1.0,16500.0,38200,682.0,25708.0,73200.0,18523.0,18523.0,68300.0,3,132,0,0,2,0
volkswagen,golf,2018.0,2018,sports car,"parf car, premium ad car, sgcarmart warranty cars",0,1408.0,169.0,1984.0,1.0,22760.0,39001,1194.0,40368.0,68888.0,34517.0,40324.0,102800.0,11,20,0,0,4,8
mercedes-benz,cls350,2018.0,2019,luxury sedan,"parf car, hybrid cars",0,1765.0,230.0,1991.0,2.0,30230.0,35906,1202.0,103443.0,99500.0,83756.0,122761.0,208800.0,1,119,0,8,1,20
honda,vezel,2017.0,2017,suv,"parf car, premium ad car, hybrid cars",0,1280.0,112.0,1496.0,3.0,15740.0,50001,682.0,18908.0,78000.0,30322.0,5000.0,51800.0,2,55,1,1,0,11
porsche,cayenne,2022.0,2022,suv,"parf car, rare & exotic, premium ad car, low mileage car",0,2060.0,250.0,2995.0,1.0,43750.0,110003,2380.0,185393.0,16000.0,85402.0,127885.0,419800.0,25,67,5,5,0,5
kia,cerato,2016.0,2016,mid-sized sedan,"parf car, low mileage car",0,1295.0,95.0,1591.0,2.0,12920.0,42035,738.0,14998.0,81600.0,14036.0,14036.0,29388.0,18,37,8,12,3,19
land rover,range,2016.0,2016,suv,"parf car, direct owner sale",0,2183.0,225.0,2993.0,2.0,29670.0,56956,3376.0,89737.0,95789.0,86985.0,128573.0,129888.0,0,0,8,12,0,21
mercedes-benz,glc300,2020.0,2020,suv,"parf car, hybrid cars",0,1805.0,200.0,1991.0,1.0,25260.0,38110,1202.0,64584.0,50000.0,44276.0,53987.0,186888.0,1,165,9,9,0,20
honda,shuttle,2018.0,2018,stationwagon,parf car,0,1130.0,97.0,1496.0,2.0,14240.0,34110,682.0,18750.0,100197.0,18790.0,8790.0,58800.0,2,28,0,0,7,0
suzuki,jimny,2008.0,2010,suv,coe car,0,1075.0,63.0,1328.0,6.0,8910.0,32875,876.0,19113.0,165892.0,18870.0,18870.0,51800.0,27,291,3,19,0,9
volkswagen,jetta,2009.0,2009,mid-sized sedan,"coe car, premium ad car",0,1377.0,118.0,1390.0,4.0,11880.0,31976,930.0,17714.0,45252.0,21634.0,21634.0,65800.0,11,173,15,6,3,3
mitsubishi,outlander,2016.0,2016,suv,parf car,0,1530.0,123.0,2360.0,2.0,15750.0,52073,1636.0,26423.0,92000.0,23701.0,25182.0,46800.0,6,14,8,12,0,0
honda,e,2023.0,2024,mpv,"parf car, almost new car, premium ad car, low mileage car, hybrid cars",0,1840.0,242.0,1993.0,1.0,18890.0,95010,1204.0,111379.0,73.0,27041.0,24858.0,196888.0,2,22,17,18,2,49
mitsubishi,canter,2016.0,2016,truck,premium ad car,1,2340.0,19.0,2998.0,2.0,14970.0,49002,2384.0,12042.0,42538.0,35820.0,1791.0,36800.0,6,10,8,12,5,15
mercedes-benz,amg,2020.0,2020,sports car,"parf car, premium ad car",0,1675.0,310.0,1991.0,2.0,32400.0,38802,1202.0,90487.0,55000.0,64298.0,87737.0,250000.0,1,29,9,9,4,1
toyota,vellfire,2017.0,2017,mpv,"parf car, premium ad car, sgcarmart warranty cars",0,1960.0,134.0,2493.0,6.0,25760.0,52000,1792.0,41264.0,123000.0,37471.0,44460.0,94500.0,3,91,1,1,2,8
jeep,Other,2018.0,2019,suv,"parf car, low mileage car",0,1683.0,125.0,1368.0,3.0,15490.0,39728,608.0,48716.0,42837.0,33161.0,38426.0,96800.0,43,17,0,8,0,19
honda,vezel,2016.0,2016,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,14610.0,45000,682.0,13667.0,142908.0,20423.0,10593.0,30800.0,2,55,8,12,0,1
peugeot,partner,2019.0,2020,van,-,1,1480.0,12.0,1499.0,2.0,9490.0,22002,684.0,12243.0,43000.0,20725.0,1037.0,52800.0,23,54,7,9,9,7
aston martin,v8,2021.0,2021,sports car,"parf car, rare & exotic, premium ad car, low mileage car",0,1695.0,375.0,3982.0,3.0,59610.0,56100,3922.0,261965.0,17000.0,180207.0,296373.0,569888.0,62,318,14,16,4,5
honda,n-van,2022.0,2024,van,"almost new car, premium ad car",0,970.0,12.0,658.0,1.0,8750.0,65808,326.0,52646.0,152430.0,16584.0,830.0,86800.0,2,74,5,18,9,51
subaru,forester,2018.0,2019,suv,parf car,0,1591.0,115.0,1995.0,2.0,16760.0,39406,1208.0,30457.0,56300.0,15640.0,15640.0,90788.0,7,72,0,8,0,0
jaguar,f-pace,2019.0,2020,suv,"parf car, premium ad car, low mileage car",0,1832.0,184.0,1997.0,1.0,22540.0,34989,1210.0,59763.0,13000.0,42518.0,51526.0,161800.0,19,174,7,9,0,6
mercedes-benz,amg,2018.0,2019,luxury sedan,"parf car, consignment car",0,1430.0,90.0,1595.0,3.0,19070.0,27000,740.0,33112.0,86000.0,25817.0,28144.0,108800.0,1,29,0,8,1,41
mercedes-benz,gla180,2018.0,2018,suv,"parf car, premium ad car",0,1435.0,90.0,1595.0,1.0,17750.0,38941,740.0,35817.0,92000.0,28179.0,31451.0,85800.0,1,77,0,0,0,1
hyundai,elantra,2018.0,2018,mid-sized sedan,"opc car, parf car, premium ad car",0,1345.0,93.0,1591.0,2.0,12430.0,11000,238.0,12313.0,64669.0,10951.0,10951.0,58000.0,12,21,0,0,3,73
bmw,216d,2016.0,2017,mpv,parf car,0,1495.0,85.0,1496.0,2.0,15330.0,50000,1082.0,25122.0,95000.0,28446.0,21825.0,47800.0,8,116,8,1,2,0
toyota,alphard,2015.0,2015,mpv,"parf car, sgcarmart warranty cars",0,1940.0,134.0,2493.0,4.0,42240.0,58190,1792.0,27596.0,185000.0,31180.0,35652.0,75800.0,3,62,10,10,2,14
bmw,z4,2009.0,2010,sports car,coe car,0,1430.0,150.0,2497.0,6.0,12970.0,38071,2694.0,21674.0,158000.0,51944.0,51944.0,73888.0,8,241,15,19,4,9
bmw,330i,2016.0,2016,luxury sedan,"parf car, premium ad car",0,1495.0,185.0,1998.0,4.0,21600.0,49700,1210.0,39346.0,112100.0,40817.0,49144.0,67888.0,8,275,8,12,1,1
mercedes-benz,Other,1988.0,1988,luxury sedan,Other,0,1602.0,153.0,2962.0,5.0,12020.0,50168,2972.8423867964984,17360.0,126387.0,67681.0,118442.0,41588.0,1,17,35,30,1,23
mercedes-benz,s320l,2016.0,2016,luxury sedan,parf car,0,1940.0,200.0,2996.0,2.0,25960.0,46502,2382.0,82593.0,126100.0,89948.0,133907.0,116888.0,1,89,8,12,1,0
mitsubishi,attrage,2020.0,2021,mid-sized sedan,"opc car, parf car",0,945.0,59.0,1193.0,1.0,10500.0,26501,70.0,20732.0,38000.0,14965.0,5000.0,69800.0,6,70,9,16,3,10
honda,jazz,2016.0,2016,hatchback,parf car,0,1046.0,96.0,1498.0,3.0,14040.0,50000,684.0,19229.0,81886.0,17528.0,12528.0,39200.0,2,82,8,12,6,0
kia,sportage,2017.0,2017,suv,"parf car, premium ad car",0,1500.0,114.0,1999.0,2.0,14360.0,53300,1212.0,29676.0,127162.0,24371.0,26120.0,50800.0,18,178,1,1,0,1
maxus,Other,2022.0,2024,van,"almost new car, premium ad car, low mileage car, electric cars",0,2340.0,12.0,1840.0,1.0,17780.0,28456,1026.0,27848.0,68.0,20261.0,20366.0,173988.0,42,17,5,18,9,81
honda,civic,2018.0,2019,sports car,parf car,1,1451.0,235.0,1996.0,3.0,37990.0,33689,1208.0,53974.0,100000.0,45212.0,55297.0,199800.0,2,16,0,8,4,0
bmw,420i,2021.0,2022,sports car,"parf car, premium ad car, low mileage car",0,1525.0,135.0,1998.0,1.0,24360.0,82001,1210.0,106643.0,14000.0,49038.0,60654.0,212000.0,8,57,14,5,4,6
