make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,price
audi,audi-a6,2014.0,27-may-2015,luxury sedan,"parf car, premium ad car",0,1565.0,132.0,1984.0,3.0,17240.0,75002,27563.0,36800.0
porsche,porsche-911,2020.0,29-apr-2021,sports car,"parf car, rare & exotic, premium ad car, low mileage car",0,1715.0,478.0,3745.0,3.0,102340.0,51900,325039.0,888000.0
mazda,mazda-2,2021.0,16-jun-2022,luxury sedan,"parf car, premium ad car",0,1515.0,121.0,1998.0,1.0,16230.0,100684,93144.0,136800.0
hyundai,hyundai-i30,2018.0,14-mar-2018,hatchback,parf car,0,1240.0,103.0,1353.0,3.0,19230.0,42322,20116.0,72800.0
rolls-royce,rolls-royce-cullinan,2022.0,10-feb-2023,suv,"parf car, low mileage car",0,2765.0,420.0,6749.0,1.0,143530.0,105524,701846.0,1650000.0
chevrolet,chevrolet-optra,2008.0,10-jun-2009,mid-sized sedan,"coe car, premium ad car",0,1240.0,80.0,1598.0,3.0,12300.0,26175,12765.0,60000.0
subaru,subaru-forester,2014.0,28-mar-2015,suv,parf car,0,1635.0,177.0,1998.0,2.0,19840.0,71889,14520.0,24400.0
toyota,toyota-camry,2009.0,29-sep-2009,luxury sedan,coe car,0,1530.0,108.0,1998.0,5.0,9550.0,37941,19262.0,48500.0
honda,honda-shuttle,2017.0,02-jan-2018,stationwagon,parf car,0,1130.0,97.0,1496.0,1.0,13890.0,41761,18456.0,49800.0
nissan,nissan-nv200,2015.0,16-mar-2016,van,premium ad car,1,1260.0,12.0,1461.0,2.0,11900.0,4965,868.0,20800.0
ford,ford-focus,2015.0,15-apr-2016,mid-sized sedan,"parf car, sgcarmart warranty cars",0,1490.0,92.0,1596.0,2.0,14490.0,46009,17362.0,33800.0
mercedes-benz,mercedes-benz-s280,2000.0,26-apr-2000,luxury sedan,"coe car, premium ad car, low mileage car",0,1705.0,150.0,2799.0,6.0,11710.0,35416,20231.0,66888.0
kia,kia-sonet,2022.0,28-jul-2022,suv,"parf car, low mileage car, sgcarmart warranty cars",0,1168.0,84.0,1497.0,1.0,14590.0,72996,71064.0,124800.0
bmw,bmw-523i,2010.0,31-may-2010,luxury sedan,"coe car, consignment car",0,1650.0,150.0,2497.0,3.0,13300.0,38071,21747.0,76000.0
toyota,toyota-hiace,2019.0,17-sep-2019,bus/mini bus,premium ad car,0,2180.0,0.0,2754.0,2.0,22960.0,24599,12731.0,118800.0
mercedes-benz,mercedes-benz-e250,2010.0,26-apr-2012,luxury sedan,"coe car, premium ad car",0,1575.0,150.0,1796.0,6.0,13100.0,40714,26659.0,85800.0
toyota,toyota-hiace,2020.0,27-jul-2020,van,-,1,1700.0,0.0,2982.0,3.0,12680.0,21092,12447.0,74800.0
mini,mini-one,2011.0,08-jul-2011,hatchback,"coe car, direct owner sale, low mileage car",0,1100.0,72.0,1598.0,2.0,9420.0,42283,29077.0,64800.0
nissan,nissan-nv200,2018.0,14-feb-2019,van,"direct owner sale, low mileage car",0,1220.0,12.0,1597.0,1.0,11310.0,26378,12315.0,52800.0
bmw,bmw-116d,2017.0,28-jun-2017,hatchback,"parf car, sgcarmart warranty cars",0,1350.0,85.0,1496.0,3.0,14110.0,45201,20617.0,47700.0
volvo,volvo-v40,2016.0,14-jul-2016,hatchback,"parf car, low mileage car",0,1450.0,90.0,1498.0,1.0,13680.0,52301,20899.0,36800.0
porsche,porsche-panamera,2018.0,25-sep-2018,sports car,"parf car, premium ad car, low mileage car",0,1880.0,243.0,2995.0,2.0,50750.0,32311,147074.0,302000.0
maserati,maserati-quattroporte,2015.0,15-may-2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1945.0,202.0,2987.0,2.0,30320.0,54406,108848.0,165800.0
seat,seat-toledo,2017.0,21-aug-2017,mid-sized sedan,"parf car, premium ad car",0,1255.0,66.0,1422.0,1.0,11110.0,46778,18342.0,38000.0
toyota,toyota-vellfire,2015.0,17-jun-2016,mpv,"parf car, premium ad car",0,1980.0,134.0,2493.0,2.0,31210.0,49000,31769.0,80800.0
volkswagen,volkswagen-golf,2007.0,29-sep-2007,sports car,"coe car, premium ad car, low mileage car",0,1617.0,184.0,3189.0,5.0,16060.0,50355,16555.0,52800.0
bmw,bmw-x3,2019.0,18-sep-2020,suv,"parf car, sgcarmart warranty cars",0,1685.0,135.0,1998.0,1.0,23320.0,41510,63139.0,170800.0
toyota,toyota-altis,2015.0,12-jun-2015,mid-sized sedan,"parf car, low mileage car",0,1205.0,90.0,1598.0,1.0,19720.0,68589,14078.0,26800.0
mercedes-benz,mercedes-benz-amg,2022.0,05-aug-2022,suv,"parf car, premium ad car, low mileage car, electric cars",0,2100.0,215.0,2291.0,1.0,28340.0,107001,129200.0,258800.0
mazda,mazda-3,2017.0,16-oct-2017,hatchback,parf car,0,1329.0,88.0,1496.0,1.0,14350.0,41761,22637.0,52800.0
mini,mini-cooper,2020.0,25-feb-2021,sports car,"parf car, low mileage car",0,1480.0,131.0,1998.0,4.0,22410.0,49001,70127.0,175000.0
audi,audi-a4,2018.0,25-oct-2018,luxury sedan,"parf car, premium ad car",0,1480.0,140.0,1984.0,1.0,16820.0,32552,40800.0,92800.0
mercedes-benz,mercedes-benz-e200,2010.0,24-sep-2010,luxury sedan,"coe car, low mileage car",0,1615.0,135.0,1796.0,2.0,12360.0,32914,20452.0,76800.0
citroen,citroen-c4,2018.0,30-aug-2018,suv,"parf car, premium ad car",0,1050.0,81.0,1199.0,1.0,11750.0,31997,26535.0,58800.0
nissan,nissan-nv350,2017.0,25-jul-2018,van,premium ad car,1,1780.0,12.0,2488.0,3.0,10900.0,27061,11121.0,44800.0
kia,kia-cerato,2010.0,12-may-2010,mid-sized sedan,"coe car, low mileage car",0,1251.0,92.0,1591.0,3.0,10190.0,29839,14584.0,49800.0
man,man-tgm,2022.0,14-feb-2023,truck,direct owner sale,0,12240.0,19.0,6871.0,2.0,24790.0,76302,66163.0,215000.0
volvo,volvo-v40,2015.0,26-feb-2016,hatchback,"parf car, premium ad car",0,1450.0,90.0,1498.0,1.0,12670.0,43000,17606.0,30888.0
kia,kia-cerato,2017.0,08-sep-2017,mid-sized sedan,"parf car, premium ad car",0,1295.0,95.0,1591.0,2.0,14380.0,46778,23360.0,52800.0
mitsubishi,mitsubishi-fuso,2023.0,29-jul-2024,truck,almost new car,1,6420.0,0.0,7545.0,1.0,17720.0,33418,26734.0,176588.0
polestar,polestar-2,2022.0,26-sep-2023,luxury sedan,"parf car, almost new car, low mileage car, electric cars",0,2188.0,300.0,2136.0,1.0,25990.0,144640,126114.0,255000.0
subaru,subaru-impreza,2007.0,05-dec-2007,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1280.0,70.0,1597.0,5.0,11850.0,41994,14531.0,41000.0
honda,honda-vezel,2017.0,09-feb-2018,suv,"parf car, hybrid cars",0,1280.0,112.0,1496.0,2.0,16010.0,42322,24953.0,63800.0
honda,honda-freed,2024.0,12-jun-2024,mpv,"parf car, almost new car, premium ad car, hybrid cars",0,1430.0,101.0,1496.0,1.0,16500.0,100607,92840.0,171800.0
porsche,porsche-macan,2015.0,16-jul-2015,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1940.0,174.0,1984.0,4.0,69250.0,65501,46934.0,105000.0
honda,honda-civic,2019.0,10-jul-2019,mid-sized sedan,parf car,0,1237.0,92.0,1597.0,2.0,14540.0,36704,33696.0,83800.0
mercedes-benz,mercedes-benz-amg,2017.0,20-mar-2018,suv,parf car,0,1435.0,115.0,1595.0,2.0,19600.0,44000,44197.0,95000.0
mazda,mazda-3,2015.0,18-jun-2015,mid-sized sedan,"parf car, direct owner sale",0,1321.0,88.0,1496.0,3.0,14270.0,66000,7726.0,13800.0
land rover,land rover-defender,2022.0,14-oct-2022,suv,"parf car, consignment car, hybrid cars",0,3250.0,307.0,2996.0,1.0,36250.0,107001,160177.0,348888.0
toyota,toyota-sienta,2008.0,29-jul-2010,mpv,"coe car, premium ad car",0,1210.0,81.0,1496.0,6.0,11350.0,33038,18863.0,64800.0
hyundai,hyundai-avante,2019.0,22-oct-2019,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,14050.0,34001,29568.0,82800.0
hyundai,hyundai-tucson,2020.0,28-sep-2020,suv,"parf car, premium ad car",0,1594.0,130.0,1591.0,2.0,17330.0,41510,39858.0,115000.0
citroen,citroen-c4,2016.0,17-mar-2017,mpv,"parf car, premium ad car",0,1365.0,88.0,1560.0,2.0,14420.0,48401,20495.0,44800.0
mercedes-benz,mercedes-benz-c230,2008.0,12-sep-2008,luxury sedan,"coe car, low mileage car",0,1560.0,150.0,2496.0,5.0,11610.0,33377,13451.0,46800.0
mercedes-benz,mercedes-benz-a200,2013.0,18-jun-2013,hatchback,"coe car, premium ad car",0,1395.0,115.0,1595.0,5.0,12490.0,46191,34624.0,46800.0
volvo,volvo-s60,2017.0,22-may-2017,luxury sedan,parf car,0,1589.0,90.0,1498.0,4.0,14170.0,51106,32095.0,55800.0
lexus,lexus-is,2009.0,24-jun-2009,luxury sedan,coe car,0,1625.0,153.0,2500.0,4.0,11450.0,39563,19630.0,56800.0
volkswagen,volkswagen-id.buzz,2023.0,21-aug-2024,van,"almost new car, premium ad car, electric cars",0,2360.0,12.0,1840.0,1.0,15620.0,52921,42337.0,155800.0
honda,honda-fit,2018.0,31-dec-2019,hatchback,"parf car, premium ad car, hybrid cars",0,1080.0,101.0,1496.0,2.0,14100.0,36000,25585.0,81000.0
honda,honda-odyssey,2008.0,26-jun-2009,mpv,"coe car, premium ad car",0,1680.0,132.0,2354.0,2.0,12460.0,35411,17269.0,60800.0
nissan,nissan-note,2016.0,05-aug-2016,hatchback,"parf car, premium ad car",0,1081.0,72.0,1198.0,2.0,12310.0,53000,13890.0,27800.0
audi,audi-a4,2011.0,30-nov-2011,luxury sedan,"coe car, low mileage car",0,1610.0,195.0,3197.0,1.0,13930.0,47316,32551.0,95800.0
volkswagen,volkswagen-t-cross,2020.0,11-mar-2021,suv,parf car,0,1369.0,85.0,999.0,1.0,15310.0,41996,45785.0,114800.0
nissan,nissan-x-trail,2017.0,14-jul-2017,suv,"parf car, sgcarmart warranty cars",0,1626.0,106.0,1997.0,1.0,16500.0,52000,30325.0,60800.0
mercedes-benz,mercedes-benz-c180,2019.0,14-feb-2020,luxury sedan,parf car,0,1490.0,115.0,1595.0,1.0,19530.0,39700,53898.0,129000.0
bmw,bmw-535i,2010.0,18-may-2010,luxury sedan,"coe car, premium ad car",0,1700.0,225.0,2979.0,6.0,16770.0,38071,21747.0,95800.0
bmw,bmw-320,2012.0,30-nov-2012,luxury sedan,"coe car, direct owner sale, low mileage car",0,1420.0,135.0,1997.0,4.0,13390.0,102078,81662.0,108888.0
honda,honda-stream,2007.0,09-nov-2007,mpv,"coe car, premium ad car, low mileage car",0,1350.0,103.0,1799.0,5.0,10820.0,50168,16645.0,35888.0
honda,honda-shuttle,2017.0,18-jul-2017,stationwagon,"parf car, direct owner sale, hybrid cars",0,1220.0,101.0,1496.0,4.0,16280.0,52000,19310.0,52800.0
kia,kia-stonic,2019.0,24-jul-2019,suv,"parf car, premium ad car, low mileage car",0,1185.0,88.0,998.0,2.0,14400.0,27000,20250.0,76800.0
toyota,toyota-estima,2006.0,18-jan-2007,mpv,"coe car, premium ad car",0,1740.0,125.0,2362.0,6.0,12650.0,52660,12826.0,30800.0
bmw,bmw-318i,2015.0,26-feb-2016,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,3.0,15630.0,46970,23890.0,40088.0
bmw,bmw-318i,2021.0,01-oct-2021,luxury sedan,parf car,0,1490.0,115.0,1998.0,1.0,18990.0,70002,86532.0,160800.0
volkswagen,volkswagen-passat,2018.0,25-sep-2019,stationwagon,"parf car, premium ad car",0,1550.0,162.0,1984.0,3.0,21170.0,40512,57137.0,135800.0
toyota,toyota-altis,2011.0,15-aug-2011,mid-sized sedan,coe car,0,1195.0,90.0,1598.0,3.0,12990.0,16570,4286.0,16800.0
bmw,bmw-m2,2023.0,26-jan-2024,sports car,"parf car, rare & exotic, almost new car, premium ad car, low mileage car",0,1725.0,338.0,2993.0,1.0,35800.0,112000,149600.0,398800.0
honda,honda-vezel,2018.0,24-oct-2018,suv,"parf car, hybrid cars",0,1280.0,112.0,1496.0,2.0,16750.0,32900,25828.0,81800.0
mercedes-benz,mercedes-benz-b180,2014.0,09-jul-2014,hatchback,"coe car, premium ad car, low mileage car",0,1425.0,90.0,1595.0,2.0,13810.0,45701,45551.0,68800.0
audi,audi-a4,2015.0,30-dec-2015,luxury sedan,"parf car, premium ad car",0,1545.0,125.0,1798.0,2.0,16720.0,55001,23994.0,39888.0
toyota,toyota-camry,2018.0,20-dec-2019,luxury sedan,"parf car, hybrid cars",0,1570.0,155.0,2487.0,1.0,19530.0,36000,43029.0,120500.0
nissan,nissan-serena,2020.0,13-jan-2021,mpv,"parf car, premium ad car, hybrid cars",0,1758.0,100.0,1198.0,1.0,21520.0,49001,47481.0,151777.0
porsche,porsche-911,2012.0,02-jul-2012,sports car,"coe car, rare & exotic, premium ad car, low mileage car",0,1490.0,294.0,3800.0,4.0,44060.0,80583,62148.0,339800.0
toyota,toyota-alphard,2018.0,31-jul-2018,mpv,"parf car, premium ad car",0,2055.0,134.0,2494.0,1.0,27470.0,32551,51577.0,138800.0
kia,kia-sorento,2016.0,27-sep-2016,suv,"parf car, direct owner sale",0,2039.0,147.0,2199.0,2.0,18500.0,57002,32913.0,58800.0
toyota,toyota-corolla,2021.0,26-apr-2021,mid-sized sedan,"parf car, premium ad car",0,1315.0,96.0,1598.0,1.0,14840.0,49640,49647.0,109800.0
toyota,toyota-vellfire,2018.0,30-aug-2019,mpv,"parf car, premium ad car, hybrid cars",0,2160.0,145.0,2493.0,1.0,28980.0,34000,67041.0,183800.0
nissan,nissan-cabstar,2014.0,28-jun-2014,truck,"coe car, premium ad car",1,1800.0,19.0,2953.0,1.0,9080.0,35310,34981.0,44988.0
honda,honda-civic,2017.0,15-dec-2017,mid-sized sedan,"parf car, premium ad car",0,1249.0,92.0,1597.0,1.0,14680.0,41761,27089.0,60000.0
bmw,bmw-520d,2017.0,29-nov-2017,luxury sedan,"parf car, premium ad car",0,1635.0,140.0,1995.0,1.0,25050.0,57000,51761.0,106800.0
honda,honda-stream,2009.0,15-feb-2011,mpv,"coe car, premium ad car",0,1360.0,103.0,1799.0,3.0,17380.0,33568,19856.0,102800.0
mercedes-benz,mercedes-benz-c180,2012.0,17-dec-2012,luxury sedan,"coe car, sgcarmart warranty cars",0,1485.0,115.0,1595.0,4.0,13640.0,42452,29751.0,47788.0
mercedes-benz,mercedes-benz-amg,2022.0,30-sep-2022,suv,"parf car, premium ad car, low mileage car, electric cars",0,2495.0,310.0,2291.0,1.0,33960.0,113000,150878.0,319800.0
honda,honda-e,2015.0,23-sep-2015,mpv,"parf car, premium ad car",0,1855.0,129.0,2356.0,1.0,16870.0,62101,23027.0,32800.0
honda,honda-freed,2018.0,15-aug-2019,mpv,"parf car, premium ad car, hybrid cars",0,1430.0,101.0,1496.0,1.0,17410.0,40001,33885.0,98802.0
mercedes-benz,mercedes-benz-cls350,2011.0,15-dec-2011,luxury sedan,coe car,0,1735.0,225.0,3498.0,3.0,14900.0,73954,55476.0,111800.0
porsche,porsche-911,2019.0,12-feb-2020,sports car,"parf car, direct owner sale, rare & exotic, low mileage car",0,1590.0,331.0,2981.0,2.0,74870.0,37900,187842.0,534900.0
toyota,toyota-hiace,2017.0,02-feb-2018,van,premium ad car,0,1800.0,0.0,2982.0,1.0,16390.0,32480,11292.0,56988.0
bmw,bmw-m3,2009.0,17-mar-2010,sports car,"coe car, consignment car, low mileage car",1,1675.0,309.0,4000.0,4.0,24120.0,35416,19823.0,135000.0
kia,kia-k2500,2017.0,07-may-2018,truck,premium ad car,1,1740.0,19.0,2497.0,2.0,10820.0,34202,12584.0,39800.0
mercedes-benz,mercedes-benz-e230,2008.0,06-jun-2008,luxury sedan,coe car,0,1605.0,150.0,2497.0,3.0,11250.0,37906,14757.0,43800.0
volkswagen,volkswagen-caddy,2013.0,04-dec-2013,van,coe car,0,1460.0,92.0,1598.0,3.0,8900.0,40773,36461.0,39800.0
toyota,toyota-yaris,2021.0,09-dec-2021,suv,"parf car, premium ad car",0,1110.0,88.0,1490.0,1.0,13580.0,57010,45438.0,101800.0
bmw,bmw-x3,2021.0,23-mar-2021,suv,parf car,0,1685.0,135.0,1998.0,1.0,24990.0,49489,74298.0,194800.0
audi,audi-rs,2019.0,31-dec-2019,sports car,parf car,0,1775.0,331.0,2894.0,3.0,38760.0,37900,100487.0,268000.0
volkswagen,volkswagen-polo,2010.0,02-jul-2010,hatchback,"coe car, premium ad car, low mileage car",0,1129.0,63.0,1390.0,4.0,10180.0,32875,19311.0,59800.0
mitsubishi,mitsubishi-canter,2022.0,23-feb-2023,truck,premium ad car,1,2320.0,19.0,2998.0,1.0,13430.0,49283,42856.0,116800.0
audi,audi-a3,2015.0,28-aug-2015,hatchback,"parf car, premium ad car",0,1300.0,92.0,1395.0,1.0,13020.0,56209,18194.0,24800.0
toyota,toyota-hiace,2016.0,08-jan-2018,bus/mini bus,premium ad car,0,1800.0,0.0,2982.0,1.0,19640.0,38518,13729.0,69988.0
toyota,toyota-altis,2009.0,27-apr-2009,mid-sized sedan,"coe car, low mileage car",0,1195.0,80.0,1598.0,4.0,9700.0,25525,12028.0,45700.0
mercedes-benz,mercedes-benz-cla180,2015.0,31-may-2016,stationwagon,"parf car, premium ad car",0,1460.0,90.0,1595.0,2.0,14940.0,45000,24089.0,40800.0
toyota,toyota-sienta,2016.0,29-jun-2016,mpv,"parf car, premium ad car",0,1320.0,80.0,1496.0,3.0,14840.0,47020,15573.0,34800.0
nissan,nissan-qashqai,2017.0,16-jun-2017,suv,parf car,0,1285.0,85.0,1197.0,1.0,14340.0,46489,22776.0,49800.0
toyota,toyota-c-hr,2017.0,15-jun-2017,suv,"parf car, premium ad car, hybrid cars",0,1440.0,90.0,1797.0,1.0,17400.0,53001,20256.0,55800.0
skoda,skoda-karoq,2018.0,17-jan-2019,suv,"parf car, premium ad car",0,1393.0,110.0,1498.0,2.0,16540.0,32200,31404.0,87808.0
mitsubishi,mitsubishi-outlander,2018.0,20-apr-2018,suv,"parf car, premium ad car",0,1480.0,110.0,1998.0,2.0,17000.0,37010,26659.0,73800.0
mercedes-benz,mercedes-benz-a45,2022.0,31-mar-2022,sports car,"parf car, premium ad car",0,1635.0,310.0,1991.0,1.0,29850.0,94889,133623.0,268800.0
bmw,bmw-218i,2015.0,31-aug-2015,hatchback,"parf car, direct owner sale, low mileage car",0,1360.0,100.0,1499.0,3.0,22450.0,62140,20391.0,38888.0
bmw,bmw-520i,1990.0,18-apr-1991,luxury sedan,"coe car, direct owner sale, rare & exotic",0,1581.0,134.0,1991.0,6.0,12470.0,33018,15840.0,59800.0
toyota,toyota-alphard,2019.0,17-dec-2020,mpv,"parf car, low mileage car",0,2055.0,134.0,2494.0,2.0,29170.0,45012,73187.0,215000.0
audi,audi-q5,2018.0,16-may-2018,suv,parf car,0,1795.0,185.0,1984.0,1.0,22240.0,38501,50490.0,112800.0
kia,kia-cerato,2020.0,29-jun-2021,mid-sized sedan,"parf car, low mileage car",0,1287.0,93.0,1591.0,1.0,14520.0,47821,46387.0,108888.0
toyota,toyota-camry,2016.0,15-jun-2016,luxury sedan,parf car,0,1475.0,133.0,2494.0,1.0,15860.0,49000,27553.0,46888.0
seat,seat-leon,2017.0,20-nov-2017,sports car,"parf car, premium ad car",0,1421.0,213.0,1984.0,2.0,25220.0,57414,44876.0,105888.0
honda,honda-vezel,2016.0,31-aug-2016,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1190.0,96.0,1496.0,3.0,14860.0,53000,17635.0,37800.0
honda,honda-jazz,2018.0,25-may-2018,hatchback,"parf car, premium ad car, low mileage car",0,1052.0,73.0,1318.0,1.0,13010.0,38830,18097.0,51300.0
nissan,nissan-qashqai,2018.0,30-jun-2018,suv,parf car,0,1325.0,85.0,1197.0,1.0,14730.0,34400,28293.0,69800.0
volvo,volvo-xc40,2019.0,18-oct-2019,suv,parf car,0,1695.0,140.0,1969.0,1.0,21350.0,40000,45691.0,129800.0
bmw,bmw-318i,2017.0,26-may-2017,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,1.0,17720.0,54556,33966.0,66000.0
honda,honda-fit,2020.0,04-dec-2020,hatchback,parf car,0,1070.0,72.0,1317.0,1.0,13200.0,37690,29418.0,88800.0
toyota,toyota-corolla,2015.0,11-mar-2015,mid-sized sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1205.0,90.0,1598.0,1.0,21630.0,57199,10601.0,19800.0
toyota,toyota-vellfire,2018.0,26-jun-2018,mpv,"parf car, premium ad car",0,2045.0,134.0,2494.0,1.0,31170.0,33900,52038.0,152800.0
mercedes-benz,mercedes-benz-b180,2016.0,10-nov-2016,hatchback,parf car,0,1425.0,90.0,1595.0,2.0,17440.0,53334,27100.0,53800.0
golden dragon,golden dragon-xml6112,2023.0,10-oct-2023,bus/mini bus,"almost new car, premium ad car",0,12000.0,4.0,7475.0,1.0,22090.0,44789,41758.0,205988.0
porsche,porsche-boxster,2007.0,04-aug-2008,sports car,"coe car, premium ad car, low mileage car",0,1420.0,217.0,3387.0,6.0,22390.0,34991,14188.0,90777.0
mercedes-benz,mercedes-benz-amg,2018.0,15-apr-2019,luxury sedan,"parf car, premium ad car",0,1480.0,90.0,1595.0,1.0,18500.0,29159,35247.0,101000.0
bmw,bmw-x1,2017.0,31-jul-2017,suv,parf car,0,1430.0,100.0,1499.0,1.0,17730.0,50001,35634.0,70800.0
honda,honda-city,2008.0,10-mar-2009,mid-sized sedan,"coe car, low mileage car",0,1150.0,88.0,1497.0,2.0,13060.0,25525,12084.0,61858.0
mercedes-benz,mercedes-benz-glb180,2022.0,25-aug-2022,suv,"parf car, low mileage car",0,1550.0,96.0,1332.0,1.0,21240.0,72996,89194.0,192888.0
mazda,mazda-2,2019.0,11-nov-2020,luxury sedan,"parf car, premium ad car",0,1514.0,121.0,1998.0,1.0,14990.0,39000,40698.0,105500.0
volkswagen,volkswagen-tiguan,2016.0,29-aug-2016,suv,"parf car, premium ad car",0,1551.0,118.0,1390.0,1.0,14040.0,56956,30274.0,45800.0
mitsubishi,mitsubishi-fuso,2014.0,19-may-2014,truck,coe car,1,7280.0,0.0,7545.0,1.0,26150.0,35560,35034.0,128800.0
nissan,nissan-qashqai,2015.0,27-oct-2015,suv,parf car,0,1285.0,85.0,1197.0,2.0,13990.0,55399,14936.0,25800.0
mercedes-benz,mercedes-benz-amg,2018.0,05-jul-2018,luxury sedan,"parf car, direct owner sale",0,1690.0,270.0,2996.0,1.0,35100.0,38700,84930.0,192000.0
bmw,bmw-116i,2012.0,28-dec-2012,hatchback,"coe car, premium ad car, sgcarmart warranty cars",0,1310.0,100.0,1598.0,2.0,10470.0,84903,67922.0,87800.0
bmw,bmw-116d,2016.0,29-mar-2016,hatchback,parf car,0,1350.0,85.0,1496.0,4.0,14150.0,45504,12936.0,28800.0
mercedes-benz,mercedes-benz-amg,2016.0,01-jun-2016,luxury sedan,parf car,0,1480.0,155.0,1991.0,3.0,26370.0,46502,38841.0,78688.0
audi,audi-a3,2021.0,27-sep-2021,hatchback,"parf car, premium ad car, hybrid cars",0,1395.0,110.0,1498.0,1.0,17840.0,62600,55727.0,133800.0
kia,kia-cerato,2016.0,12-may-2017,mid-sized sedan,"parf car, sgcarmart warranty cars",0,1295.0,95.0,1591.0,1.0,11800.0,52000,23123.0,39800.0
maserati,maserati-ghibli,2019.0,25-sep-2020,luxury sedan,"parf car, direct owner sale, rare & exotic, low mileage car",0,1850.0,257.0,2979.0,2.0,40620.0,40989,98420.0,303500.0
mercedes-benz,mercedes-benz-a180,2014.0,08-apr-2015,hatchback,"parf car, low mileage car",0,1395.0,90.0,1595.0,3.0,19710.0,64900,10904.0,18800.0
nissan,nissan-nv200,2015.0,24-oct-2015,van,premium ad car,0,1240.0,12.0,1597.0,1.0,14600.0,50002,6781.0,19800.0
honda,honda-jazz,2019.0,13-mar-2019,hatchback,"parf car, premium ad car, low mileage car",0,1052.0,73.0,1318.0,1.0,14290.0,25000,16020.0,70800.0
mini,mini-one,2020.0,10-sep-2020,hatchback,"parf car, low mileage car",0,1225.0,75.0,1499.0,1.0,16880.0,35710,37248.0,113000.0
toyota,toyota-hiace,2019.0,02-jan-2020,van,-,1,1700.0,0.0,2982.0,2.0,13480.0,26509,14714.0,74800.0
volkswagen,volkswagen-e-up,2021.0,07-apr-2022,hatchback,"parf car, premium ad car, low mileage car, electric cars",0,1269.0,61.0,1422.0,1.0,14820.0,72996,57037.0,115800.0
honda,honda-hr-v,2017.0,01-aug-2017,suv,"parf car, premium ad car",0,1185.0,96.0,1496.0,1.0,14240.0,44002,23446.0,52000.0
audi,audi-q5,2022.0,25-aug-2023,suv,"parf car, almost new car, low mileage car, hybrid cars",0,1845.0,150.0,1984.0,1.0,24610.0,129890,163633.0,255800.0
toyota,toyota-wish,2015.0,20-mar-2015,mpv,parf car,0,1350.0,105.0,1797.0,3.0,17030.0,68668,11025.0,17900.0
toyota,toyota-altis,2014.0,30-jan-2015,mid-sized sedan,parf car,0,1205.0,90.0,1598.0,1.0,19780.0,65889,10646.0,17800.0
mg,mg-hs,2020.0,26-nov-2020,suv,"parf car, premium ad car",0,1563.0,119.0,1490.0,1.0,15880.0,39500,39361.0,110800.0
hyundai,hyundai-avante,2009.0,26-jan-2010,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1264.0,89.0,1591.0,5.0,9300.0,32368,17674.0,50800.0
byd,byd-atto,2023.0,25-jul-2023,suv,"parf car, almost new car, electric cars",0,1750.0,100.0,1911.0,1.0,16600.0,96206,76965.0,149888.0
citroen,citroen-berlingo,2017.0,25-sep-2018,van,premium ad car,0,1460.0,12.0,1560.0,1.0,8360.0,30389,12355.0,33988.0
mercedes-benz,mercedes-benz-s320l,2016.0,04-jul-2016,luxury sedan,parf car,0,1940.0,200.0,2996.0,5.0,24770.0,56000,85577.0,116500.0
mercedes-benz,mercedes-benz-c180,2008.0,28-oct-2008,luxury sedan,"coe car, premium ad car",0,1485.0,115.0,1796.0,4.0,11630.0,32279,14105.0,50800.0
toyota,toyota-noah,2020.0,08-apr-2021,mpv,"parf car, hybrid cars",0,1610.0,100.0,1797.0,1.0,21880.0,52200,54633.0,161800.0
bmw,bmw-x3,2020.0,26-oct-2020,suv,parf car,0,1685.0,135.0,1998.0,1.0,24000.0,40690,66567.0,179900.0
toyota,toyota-liteace,2016.0,26-jul-2017,van,-,0,1240.0,12.0,1495.0,2.0,10770.0,38501,11371.0,31800.0
mercedes-benz,mercedes-benz-amg,2015.0,09-jun-2016,luxury sedan,parf car,0,2015.0,335.0,4663.0,2.0,33890.0,56000,123028.0,168888.0
nissan,nissan-qashqai,2016.0,30-jun-2016,suv,"parf car, sgcarmart warranty cars",0,1285.0,85.0,1197.0,2.0,15190.0,55200,19465.0,37800.0
mercedes-benz,mercedes-benz-280,1980.0,03-mar-1980,luxury sedan,"coe car, direct owner sale, low mileage car, vintage cars",0,1498.0,131.0,2746.0,4.0,24820.0,31933,15039.0,116880.0
mini,mini-cooper,2011.0,27-apr-2011,sports car,"coe car, low mileage car",0,1205.0,90.0,1598.0,4.0,11480.0,42283,29030.0,78800.0
peugeot,peugeot-5008,2018.0,30-may-2018,mpv,parf car,0,1365.0,121.0,1598.0,2.0,14950.0,38389,39402.0,75888.0
